report_date,keyword,rubicon_paid_impressions,rubicon_revenue,dfp_impressions,value_cpm
2016-02-17,ar100,10336,3.47,10473.0,0.2915688
2016-02-18,ar100,3995,1.99,4952.0,0.3536349
2016-02-17,ar100_2,25299,6.79,25635.0,0.23308757
2016-02-18,ar100_2,11589,5.12,14364.0,0.31367306
2016-02-17,ar102,1112,0.45,1127.0,0.35137532
2016-02-18,ar102,608,0.34,754.0,0.39681698
2016-02-17,ar102_2,56,0.0,57.0,0.0
2016-02-17,ar104,120,0.06,122.0,0.43278688
2016-02-18,ar104,42,0.03,52.0,0.5076923
2016-02-17,ar104_2,712,0.25,721.0,0.30513176
2016-02-18,ar104_2,193,0.11,239.0,0.40502092
2016-02-17,ar106,19574,7.38,19819.0,0.32768556
2016-02-18,ar106,10423,6.31,12891.0,0.43075013
2016-02-17,ar106_2,77890,26.47,78925.0,0.29513588
2016-02-18,ar106_2,39954,20.19,49522.0,0.35877389
2016-02-17,ar11,245395,112.68,497204.0,0.19943202
2016-02-18,ar11,154216,82.6,382212.0,0.19017718
2016-02-17,ar11_1,110257,45.91,111676.0,0.36176797
2016-02-18,ar11_1,70546,35.82,87394.0,0.3606838
2016-02-17,ar11_2,2651450,774.88,2686645.0,0.2538089
2016-02-18,ar11_2,1280888,459.57,1587617.0,0.25473499
2016-02-18,ar14_1,1817,1.27,2252.0,0.49626997
2016-02-18,ar14_2,5336,1.94,6614.0,0.25811915
2016-02-17,ar16,40414,18.44,40908.0,0.39667548
2016-02-18,ar16,28607,16.02,70878.0,0.19889952
2016-02-17,ar16_2,193946,58.0,196521.0,0.25971779
2016-02-18,ar16_2,101445,36.82,125718.0,0.25773238
2016-02-17,ar17,880,0.35,882.0,0.34920634
2016-02-18,ar17,492,0.26,602.0,0.38006643
2016-02-17,ar17_1,462,0.18,461.0,0.34360088
2016-02-18,ar17_1,322,0.1,394.0,0.22335026
2016-02-17,ar17_2,17215,5.31,17446.0,0.26784363
2016-02-18,ar17_2,7034,2.55,8710.0,0.2576349
2016-02-17,ar18,144,0.06,146.0,0.36164383
2016-02-18,ar18,208,0.14,258.0,0.47751938
2016-02-17,ar18_2,193,0.09,196.0,0.40408165
2016-02-18,ar18_2,301,0.16,373.0,0.37747988
2016-02-18,ar19_1,8802,4.72,10910.0,0.38071492
2016-02-18,ar19_2,14191,5.33,17589.0,0.26666666
2016-02-17,ar22,6764,1.36,6838.0,0.17502194
2016-02-18,ar22,3871,0.89,4772.0,0.16412405
2016-02-17,ar22_1,39422,5.43,39924.0,0.1196874
2016-02-18,ar22_1,18331,3.1,22720.0,0.12007042
2016-02-17,ar22_2,81793,8.62,82880.0,0.0915251
2016-02-18,ar22_2,33371,4.37,41362.0,0.09297423
2016-02-17,ar23,133,0.05,135.0,0.32592593
2016-02-18,ar23,80,0.06,99.0,0.53333332
2016-02-17,ar23_2,154,0.08,156.0,0.45128204
2016-02-18,ar23_2,20,0.02,25.0,0.70399998
2016-02-17,ar25,1906,1.34,1931.0,0.61066806
2016-02-18,ar25,1298,1.07,1609.0,0.58520823
2016-02-17,ar25_2,1998,0.8,2025.0,0.34765433
2016-02-18,ar25_2,1408,0.75,1745.0,0.3782235
2016-02-17,ar26,4708,2.65,4765.0,0.48940191
2016-02-18,ar26,3082,2.12,3819.0,0.48850482
2016-02-17,ar26_2,57518,23.36,58280.0,0.35272479
2016-02-18,ar26_2,35768,16.11,44332.0,0.31978707
2016-02-17,ar27,2976,0.79,3016.0,0.23050399
2016-02-18,ar27,1098,0.51,1361.0,0.32975753
2016-02-17,ar28,45172,14.37,45680.0,0.27683012
2016-02-18,ar28,26291,10.58,32491.0,0.2865532
2016-02-17,ar28_2,68949,16.79,69779.0,0.2117428
2016-02-18,ar28_2,28338,8.25,35042.0,0.20717996
2016-02-17,ar29,20031,6.83,40492.0,0.14843426
2016-02-18,ar29,11485,6.36,28414.0,0.19697333
2016-02-17,ar29_2,41271,11.09,41819.0,0.23336761
2016-02-18,ar29_2,18984,7.52,23497.0,0.28163595
2016-02-17,ar30_1,718,0.35,728.0,0.42307692
2016-02-18,ar30_1,947,0.59,1174.0,0.4422487
2016-02-17,ar30_2,2305,0.85,2336.0,0.32020549
2016-02-18,ar30_2,1284,0.55,1591.0,0.30421119
2016-02-17,ar31,202824,89.68,205471.0,0.38408535
2016-02-18,ar31,133433,86.51,165330.0,0.46046575
2016-02-17,ar31_2,739627,232.55,749447.0,0.27306001
2016-02-18,ar31_2,370065,165.51,458671.0,0.31754525
2016-02-18,ar33_1,7408,3.67,9182.0,0.35173166
2016-02-18,ar33_2,27101,8.6,33591.0,0.22529845
2016-02-17,ar35,14853,6.79,30010.0,0.19910696
2016-02-18,ar35,8231,4.46,10156.0,0.38645136
2016-02-17,ar35_2,106273,30.85,107685.0,0.25210568
2016-02-18,ar35_2,43831,15.52,54316.0,0.25144709
