report_date,keyword,rubicon_paid_impressions,rubicon_revenue,dfp_impressions,value_cpm
2016-02-14,ar100,2845,0.73,2865.0,0.22422339
2016-02-15,ar100,3887,0.94,3670.0,0.22539509
2016-02-14,ar100_2,10489,1.65,10564.0,0.13744793
2016-02-15,ar100_2,11639,1.96,10161.0,0.16974708
2016-02-14,ar100_728x90_1,803,0.19,787.0,0.21245235
2016-02-15,ar100_728x90_1,1138,0.24,1049.0,0.2013346
2016-02-14,ar100_728x90_2,2050,0.26,2056.0,0.11128404
2016-02-15,ar100_728x90_2,2282,0.32,1836.0,0.1533769
2016-02-14,ar102,684,0.35,689.0,0.44702467
2016-02-15,ar102,2394,1.05,2384.0,0.38758388
2016-02-14,ar102_2,51,0.01,51.0,0.17254902
2016-02-15,ar102_2,79,0.01,54.0,0.16296296
2016-02-14,ar104,54,0.03,54.0,0.48888888
2016-02-15,ar104,83,0.04,80.0,0.43999999
2016-02-14,ar104_2,347,0.17,349.0,0.4286533
2016-02-15,ar104_2,205,0.06,177.0,0.29830508
2016-02-14,ar106,39727,18.73,39995.0,0.4121115
2016-02-15,ar106,65684,26.29,60202.0,0.38429289
2016-02-14,ar106_2,135380,52.46,136349.0,0.3385782
2016-02-15,ar106_2,236606,72.51,205203.0,0.31095453
2016-02-14,ar11,150351,82.81,302746.0,0.24070606
2016-02-15,ar11,383401,179.22,734342.0,0.2147686
2016-02-14,ar11_1,53836,28.98,54179.0,0.47070635
2016-02-15,ar11_1,145802,63.86,141296.0,0.39772393
2016-02-14,ar11_2,1571978,558.31,1583220.0,0.31032503
2016-02-15,ar11_2,3743204,1064.0,3193086.0,0.29323357
2016-02-14,ar16,13349,7.29,13436.0,0.47746353
2016-02-15,ar16,33313,14.81,31768.0,0.41024932
2016-02-14,ar16_2,78267,26.73,78828.0,0.29840158
2016-02-15,ar16_2,182947,48.12,154289.0,0.27445637
2016-02-14,ar17,634,0.28,631.0,0.39049129
2016-02-15,ar17,2294,0.98,2163.0,0.39870551
2016-02-14,ar17_1,569,0.27,565.0,0.42053099
2016-02-15,ar17_1,1900,0.87,1799.0,0.42556976
2016-02-14,ar17_2,11661,3.86,11744.0,0.28923705
2016-02-15,ar17_2,37774,9.93,32432.0,0.2694376
2016-02-14,ar18,255,0.13,257.0,0.44513617
2016-02-15,ar18,247,0.08,237.0,0.29704641
2016-02-14,ar18_2,283,0.08,285.0,0.24701754
2016-02-15,ar18_2,507,0.12,465.0,0.22709677
2016-02-14,ar22,5595,1.29,5617.0,0.20210076
2016-02-15,ar22,9905,2.05,8983.0,0.20082377
2016-02-14,ar22_1,31295,5.03,31505.0,0.14049834
2016-02-15,ar22_1,56515,8.5,44945.0,0.16642563
2016-02-14,ar22_2,60690,7.14,61123.0,0.102796
2016-02-15,ar22_2,108620,12.63,85363.0,0.13020161
2016-02-14,ar23,222,0.11,224.0,0.43214285
2016-02-15,ar23,247,0.09,224.0,0.35357144
2016-02-14,ar23_2,121,0.04,122.0,0.28852458
2016-02-15,ar23_2,134,0.04,119.0,0.29579831
2016-02-14,ar25,4095,3.07,4125.0,0.65493332
2016-02-15,ar25,2863,1.85,2875.0,0.56626088
2016-02-14,ar25_2,4330,1.96,4361.0,0.39550563
2016-02-15,ar25_2,2867,0.79,2685.0,0.25891993
2016-02-14,ar26,3239,2.27,3259.0,0.61294875
2016-02-15,ar26,7961,4.68,7820.0,0.5266496
2016-02-14,ar26_2,31070,14.65,31292.0,0.41199027
2016-02-15,ar26_2,79225,28.37,72777.0,0.34304245
2016-02-14,ar27,2152,0.61,2167.0,0.24771574
2016-02-15,ar27,3101,0.75,2845.0,0.23198594
2016-02-14,ar28,111740,35.36,112405.0,0.27682755
2016-02-15,ar28,131280,37.15,119683.0,0.27315493
2016-02-14,ar28_2,170857,38.33,172026.0,0.19607735
2016-02-15,ar28_2,214904,40.95,178818.0,0.20152334
2016-02-14,ar29,42600,17.18,85800.0,0.17620513
2016-02-15,ar29,67409,23.36,61735.0,0.33298454
2016-02-14,ar29_2,83624,23.81,84221.0,0.24878355
2016-02-15,ar29_2,147381,34.18,124143.0,0.24228833
2016-02-14,ar30_1,856,0.56,862.0,0.57169374
2016-02-15,ar30_1,798,0.4,750.0,0.46933334
2016-02-14,ar30_2,2607,0.95,2626.0,0.31835491
2016-02-15,ar30_2,2778,0.82,2154.0,0.33500464
2016-02-14,ar31,250490,140.08,252219.0,0.48874352
2016-02-15,ar31,421548,192.12,408457.0,0.41391284
2016-02-14,ar31_2,784106,282.86,789703.0,0.31520304
2016-02-15,ar31_2,1518761,424.97,1304768.0,0.28662076
2016-02-14,ar35,5278,2.85,5282.0,0.47482013
2016-02-15,ar35,8328,3.71,7842.0,0.41632237
2016-02-14,ar35_2,24078,8.44,24252.0,0.30625102
2016-02-15,ar35_2,44073,12.27,38235.0,0.28240095
2016-02-14,ar35_728x90_2,8999,3.18,9038.0,0.30962603
2016-02-15,ar35_728x90_2,17124,4.75,14471.0,0.28885357
2016-02-14,ar37,524458,153.4,528172.0,0.2555834
2016-02-15,ar37,629519,159.06,512507.0,0.27311392
